run_name,exact_mip,baseline_greedy,baseline_beam,baseline_random,best_model,best_objective_score
run_0305,20.67,20.67,20.67,20.67,exact_mip,20.67
run_0306,82.79,86.6,84.87,82.86,exact_mip,82.79
run_0307,39.09,39.09,39.09,39.09,exact_mip,39.09
run_0308,71.26,71.26,71.26,71.26,exact_mip,71.26
run_0309,90.61,91.31,91.31,90.61,exact_mip,90.61
run_0310,44.96,46.69,44.96,44.96,exact_mip,44.96
run_0311,52.95,54.89,54.89,52.95,exact_mip,52.95
run_0312,77.9,80.47,78.95,77.9,exact_mip,77.9
run_0313,82.41,86.41,85.03,83.3,exact_mip,82.41
run_0314,77.38,79.93,79.65,77.38,exact_mip,77.38
run_0315,40.1,40.1,40.1,40.1,exact_mip,40.1
run_0316,66.63,66.77,66.7,66.63,exact_mip,66.63
run_0317,64.01,64.01,64.01,64.01,exact_mip,64.01
run_0318,54.47,56.06,54.47,54.47,exact_mip,54.47
run_0319,83.98,86.29666666666667,84.77666666666667,83.98,exact_mip,83.98
run_0320,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0321,88.89,93.26,92.09,88.89,exact_mip,88.89
run_0322,58.07,59.66,59.38,58.07,exact_mip,58.07
run_0323,74.64,78.31,78.31,74.64,exact_mip,74.64
run_0324,104.35,109.61,107.25,105.45,exact_mip,104.35
run_0325,80.34,83.8,80.76,80.34,exact_mip,80.34
run_0326,52.65,53.75,52.65,52.65,exact_mip,52.65
run_0327,60.89,63.18,62.97,60.89,exact_mip,60.89
run_0328,57.6,57.6,57.6,57.6,exact_mip,57.6
run_0329,59.76,59.76,59.76,59.76,exact_mip,59.76
run_0330,56.58,59.480000000000004,57.82,56.58,exact_mip,56.58
run_0331,64.33,65.5,64.33,64.33,exact_mip,64.33
run_0332,77.58,78.86666666666667,77.58,77.58,exact_mip,77.58
run_0333,47.9,47.9,47.9,47.9,exact_mip,47.9
run_0334,41.38,44.42,44.42,41.38,exact_mip,41.38
run_0335,50.49,53.25,50.49,50.49,exact_mip,50.49
run_0336,77.33,78.57000000000001,78.57000000000001,77.33,exact_mip,77.33
run_0337,81.57,82.81,81.57,81.57,exact_mip,81.57
run_0338,42.49,44.71,44.15,42.49,exact_mip,42.49
run_0339,73.57000000000001,75.65,75.09,73.57000000000001,exact_mip,73.57000000000001
run_0340,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0341,44.86,45.96,44.86,44.86,exact_mip,44.86
run_0342,64.07000000000001,67.48,65.8,64.07000000000001,exact_mip,64.07000000000001
run_0343,46.230000000000004,46.230000000000004,46.230000000000004,46.230000000000004,exact_mip,46.230000000000004
run_0344,73.16,73.37,73.16,73.16,exact_mip,73.16
run_0345,83.56,84.87,84.87,83.56,exact_mip,83.56
run_0346,65.91,65.91,65.91,65.91,exact_mip,65.91
run_0347,82.65,85.5,84.38,82.65,exact_mip,82.65
run_0348,66.07,67.59,66.07,66.07,exact_mip,66.07
run_0349,52.04,55.15,54.33,52.04,exact_mip,52.04
run_0350,34.98,34.98,34.98,34.98,exact_mip,34.98
run_0351,25.09,25.09,25.09,25.09,exact_mip,25.09
run_0352,64.66,64.94,64.8,64.66,exact_mip,64.66
run_0353,61.74,64.54666666666667,64.54666666666667,61.74,exact_mip,61.74
run_0354,50.47,50.82,50.47,50.47,exact_mip,50.47
